title,creator,date,description,subjects,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement,object-id
Three Female Chemistry Students ca 1897,"Barkhuff, William Delbert",1905-03-06,Three female chemistry students pose together in front of several shelves of glass vials.,Chemistry--Washington (State)--Pullman; Women--Washington (State)--Pullman; Students--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n02,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,13
"General Weyler&#x27;s Effigy, Pullman, 1898","Barkhuff, William Delbert",1898-04-28,General Weyler&#x27;s effigy hanging in downtown Pullman during the Spanish American War,Mannequins--Washington (State)--Pullman; Electric lines--Washington (State)--Pullman; Buildings--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n03,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,14
"College Record Staff, 1892","Lake, Edward R.",1892-06-22,"Students of the first college newspaper, the College Record, sitting behind the Crib. Note: original print is faded.  Clockwise from upper left: E.Q. Merriman, W.S. Van Doren, W.D. Barkhuff, Allie Fariss.",Women--Washington (State)--Pullman; Men--Washington (State)--Pullman; Clothing &amp; dress--Washington (State)--Pullman; Buildings--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n05,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,16
Record Staff of 1893,"Barkhuff, William Delbert",1893-02,"A portrait of the staff of the college newspaper the Record. The photographer, Barkhuff, sits in the front row to the far right.",Clothing &amp; dress--Washington (State)--Pullman; Men--Washington (State)--Pullman; Students--Washington (State)--Pullman; Women--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n06,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,17
"First Faculty of the W.A.C., 1892","Barkhuff, William Delbert",1892-06,"First Faculty of the W.A.C. Note: the original print is faded.  Back row, left to right: George Gale Hitchcock, Nancy L. Van Doren, Charles E. Munn.  Front, l to r: John O'Brien Scobey, President George Washington Lilley, Edward Ralph Lake.",Chairs--Washington (State)--Pullman; Employees--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Men--Washington (State)--Pullman; College presidents--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n07,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,18
Reaney Park,"Barkhuff, William Delbert",1905-03-06,"A crowd, tents, carriages and horses are all present at the base of College Hill, later turned into Reaney Park.",Men--Washington (State)--Pullman; Walkways--Washington (State)--Pullman; Women--Washington (State)--Pullman; Hills--Washington (State)--Pullman; Electric lines--Washington (State)--Pullman; Crowds--Washington (State)--Pullman; Celebrations--Washington (State)--Pullman; Horses--Washington (State)--Pullman; Houses--Washington (State)--Pullman; Camps--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n08,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,19
"Cadet Corps, Artillery Co., ca 1897","Barkhuff, William Delbert",1897,Cadets in the Artillery Co standing at attention during a campus drill.,Cadets--Washington (State)--Pullman; Artillery (Weaponry)--American--Washington (State)--Pullman; Men--Washington (State)--Pullman; Students--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n09,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,20
Surveying Instruments ca 1897,"Barkhuff, William Delbert",1905-03-11,"Surveying instruments near the front entrance to the recently completed Administration Building, later Thompson Hall.",Surveying equipment--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Thompson Hall,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n10,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,21
Portrait of Barkhuff and Fellow Students ca 1894,"Barkhuff, William Delbert",1905-03-08,"In this group portrait, Barkhuff stands in the back row second to the left.",Students--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n11,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,22
Cadets Beside Administration Building ca. 1897,"Barkhuff, William Delbert",1905-03-11,"A portrait of cadets taken in front of the recently completed Administration Building, later Thompson Hall.",Men--Washington (State)--Pullman; Cadets--Washington (State)--Pullman; Artillery (Weaponry)--American--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Students--Washington (State)--Pullman; Thompson Hall,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n12,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,23
"Ferry Hall, November 23, 1897","Barkhuff, William Delbert",1897-11-23,A crowd gathered around Ferry Hall after a fire.,Students--Washington (State)--Pullman; Hills--Washington (State)--Pullman; Disasters--Washington (State)--Pullman; Crowds--Washington (State)--Pullman; Ferry Hall,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n13,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,24
Cadets 1897,"Barkhuff, William Delbert",1905-03-11,Cadets on field by Thompson Hall.,Cadets--Washington (State)--Pullman; Flag--United States--Washington (State)--Pullman; Men--Washington (State)--Pullman; Buildings--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n14,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,25
Professors of Math and Civil Engineering with Students,"Barkhuff, William Delbert",1905-03-06,"Professors of Math and Civil Engineering stand beside their students in front of the recently completed Administration Building, later Thompson Hall.",Mathematicians--Washington (State)--Pullman; Engineers--Washington (State)--Pullman; Employees--Washington (State)--Pullman; Students--Washington (State)--Pullman; Thompson Hall,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n15,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,26
Baseball Player,"Barkhuff, William Delbert",1905-03-06,A student in a Washington Agriculture College baseball uniform standing beside homes in Pullman.,Baseball players--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n01,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,28
Class Picnic,"Barkhuff, William Delbert",1905-03-06,A class picnic on the grass.,Trees--Washington (State)--Pullman; Students--Washington (State)--Pullman; Women--Washington (State)--Pullman; Men--Washington (State)--Pullman; Food--Washington (State)--Pullman; Eating &amp; drinking--Washington (State)--Pullman; Picnics--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n02,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,29
"Cadets and Officers, ca. 1895","Barkhuff, William Delbert",1905-03-06,"A group of cadets and officers posed for their portrait at the base of the recently completed Administration Building, later Thompson Hall.",Men--Washington (State)--Pullman; Flag--United States--Washington (State)--Pullman; Cadets--Washington (State)--Pullman; Military officers--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Men--Washington (State)--Pullman; Thompson Hall,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n03,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,30
Gymnasts in Front of an American Flag,"Barkhuff, William Delbert",1905-03-06,A portrait of a group of male gymnasts with an oversized American Flag as a backdrop,Flag--United States--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n04,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,31
Class of 1900,"Barkhuff, William Delbert",1905-03-14,Class of 1900 poses in front of Thompson Hall (Administration Building).,Thompson Hall--Washington (State)--Pullman; Graduation ceremonies--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Women--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n05,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,32
Gymnasts in Front of Flag,"Barkhuff, William Delbert",1905-03-06,Two male gymnasts practice in front of an oversized American flag.,Gymnastics--Washington (state)--Pullman; Men--Washington (State)--Pullman; Flag--United States--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n06,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,33
"Group of Students Watching the Drill of Cadets, ca.1897","Barkhuff, William Delbert",1905-03-11,Group of students with some in uniform watching the drill of cadets on a bare hill.,Women--Washington (State)--Pullman; Men--Washington (State)--Pullman; Meadows--Washington (State)--Pullman; Crowds--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n07,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,34
"&quot;Eternal Joy&quot; Club, Barkhuff with Friends","Barkhuff, William Delbert",1905-03-06,W D Barkhuff stands in the middle among friends ready to eat. One of the students wears a cadet&#x27;s uniform.,Eating &amp; drinking--Washington (State)--Pullman; Food--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n08,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,35
Barkhuff and Friends,"Barkhuff, William Delbert",1905-03-06,"In the center is Barkhuff, the man on his right may be Franklin Boozer.",Men--Washington (State)--Pullman; Interiors--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n09,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,36
Kislerson and Tarp in the Dorm Room,"Barkhuff, William Delbert",1905-03-06,Kislerson and Tarp sit in a dorm room decorated with W.A.C. pennants.,Chairs--Washington (State)--Pullman; Tables--Washington (State)--Pullman; Plaques--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n10,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,37
"Dorm Room, ca. 1897","Barkhuff, William Delbert",1905-03-06,An interior view of a dorm room at W.A.C.,Chairs--Washington (State)--Pullman; Decorations--Washington (State)--Pullman; Tables--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n11,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,38
"Dorm Room Interior, W.A.C.","Barkhuff, William Delbert",1905-03-06,Tables and chairs inside a dorm room.,Tables--Washington (State)--Pullman; Plaques--Washington (State)--Pullman; Chairs--Washington (State)--Pullman; Interiors,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n12,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,39
Student in Dorm Room,"Barkhuff, William Delbert",1905-03-06,A male student studying inside his dorm room.,Rooms &amp; spaces--Washington (State)--Pullman; Men--Washington (State)--Pullman; Beds--Washington (State)--Pullman; Furniture--Washington (State)--Pullman; Interiors,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n13,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,40
WAC People,"Barkhuff, William Delbert",1905-03-06,Man standing.,Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n15,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,42
Football Players,"Barkhuff, William Delbert",1905-03-06,A group of students wearing football practice clothes sitting on field in front of sign that reads &quot;Blackman Brothers Dry Goods Clothing&quot;.,Men--Washington (State)--Pullman; Trees--Washington (State)--Pullman; Fences--Washington (State)--Pullman; Students--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n16,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,43
WAC People,"Barkhuff, William Delbert",1905-03-06,People standing in doorway.,People--Washington (State)--Pullman; Buildings--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n17,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,44
WAC People,"Barkhuff, William Delbert",1905-03-06,Men pose for group photo.  W.D. Barkhuff at bottom left corner of photograph.,"Buildings--Washington (State)--Pullman; Men--Washington (State)--Pullman; Barkhuff, William Delbert",North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f03n18,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,45
