title,creator,date,description,subjects,publisher,identifier,rights,source,format,type,datedig,language,pub-type,number,object-id
"Your electric farm shop: Plan it, build it, use it (202, Extension Bulletin, 1954)","Knight, William H.; Brown, Owen K.",1954-05-01,"11 p., Idaho Agricultural Extension Service, Bulletin 202, May 1954.",building construction; electrical equipment; farm buildings; Farm shops--Electric equipment; Farm shops--Design and construction,University of Idaho. Agricultual Extension Service,uica_b202,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Libra",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),202,621
"Prepared and cooked: Foods to fit your freezer (206, Extension Bulletin, 1954)","Paterson, Mary Jane",1954-04-01,"15 p.,  Idaho Agricultural Extenstion Service, Bulletin 206, April 1954.",frozen foods; precooked foods; Frozen foods;,University of Idaho. Agricultural Extension Service,uica_b206,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),206,638
"Weed control: With chemicals cultivation rotation (207, Bulletin, 1954)",University of Idaho College of Agricultural and Life Sciences,1954-04-01,"5 p.,  Idaho Agricultural Extenstion Service, Bulletin 207, April 1954.",weed control; Weeds--Control,Idaho Agricultural Experiment Station,uica_b207,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Libra",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),207,644
"Analysis of potato packing costs in Idaho, 1950 - 1951 seasons (208, Experiment Station Bulletin, 1954)","Libeau, C.P.; Bird, Kermit M.",1954-04-01,"19 p.,  Idaho Agricultural Experiment Station, Bulletin 208, April 1954.",food packaging; potatoes; production costs; Potatoes--Packing--Idaho--Costs,Idaho Agricultural Experiment Station,uica_b208,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),208,665
"Crop varieties to fit your growing conditions (209, Experiment Bulletin, 1954)",University of Idaho. College of Agriculture,1954-04-01,"12 p.,  Idaho Agricultural Experiment Station, Bulletin 209, April 1954.",varieties; Crops--Idaho; Crop zones--Idaho,Idaho Agricultural Experiment Station,uica_b209,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),209,678
"Funtime favorites (210, Extension Bulletin, 1954)","Nystrom, Esther",1954-04-01,"16 p.,  Idaho Agricultural Extenstion Service, for the 4-H Modern Miss, Bulletin 210, April 1954.",clothing; Sport clothes for women;,University of Idaho. Agricultural Extension Service,uica_b210,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),210,695
"Fiesta: a new hybrid onion for use where sweet Spanish strains are adapted (211, Bulletin, 1954)","Franklin, DeLance F., 1909-; Jones, Henry A.; Peterson, Clinton E.",1954-04-01,"8 p.,  Idaho Agricultural Experiment Station, Bulletin 211, April 1954.",onions; Onions--Varieties,Idaho Agricultural Experiment Station,uica_b211,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),211,704
Bonanza: A new hybrid onion for long storage,"Jones, Henry A.; Franklin, DeLance F., 1909-; Peterson, Clinton E.",1954-06-01,"6 p.,  Idaho Agricultural Experiment Station, Bulletin 212, June 1954.",onions; Onions--Varieties; Onions--Storage,Idaho Agricultural Experiment Station,uica_b212,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),212,711
Farm bulletins for Idaho farmers,,1954-06-01,"16 p.,  Idaho Agricultural Extension Service, Bulletin 213, June 1954.",farmers; information; Agriculture--Idaho--Periodicals--Catalogs,University of Idaho. Agricultural Extension Service,uica_b213,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),213,728
Red top conifers and why they turn red,"Hubert, Ernest E.;",1954-07-01,"6 p.,  Idaho Agricultural Extension Service, Forest and Shade Tree Clinic, Bulletin 214, July 1954.",conifers; discoloration; plant diseases and disorders; Conifers--Diseases and pests; Conifers--Color,University of Idaho. Agricultural Extension Service,uica_b214,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),214,735
Needle cast diseases of western larch,"Hubert, Ernest E.;",1954-07-01,"6 p.,  Idaho Agricultural Extension Service, Forest and Shade Tree Clinic, Bulletin 215, July 1954.",fungal diseases of plants; Larix occidentalis; tree diseases; Larches--Diseases and pests; Fungal diseases of plants,Idaho Agricultural Experiment Station,uica_b215,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),215,742
"Net energy requirements and energy values of feeds for growing lambs (083, Research Bulletin, 1971)","Keith, Thomas B.; Price, Donald A.; Fredericksen, K.R.; Everson, Dale O.",1971-10-01,"12 p., Idaho Agricultural Experiment Station, Research Bulletin 83, October 1971",animal growth; energy requirements; lamb feeding; lambs; Lambs--Feed utilization efficiency,Idaho Agricultural Experiment Station,uie_rb83,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),083,755
"Gain factors for four systems of measuring energy requirements of ram and ewe lambs (084, Research Bulletin, 1972)","Keith, Thomas B.; Price, D.A.; Fredericksen, K.R.; Everson, Dale O.",1972-05-01,"10 p., Idaho Agricultural Experiment Station, Research Bulletin 84, May 1972",energy requirements; lambs; Lambs--Feed utilization efficiency,Idaho Agricultural Experiment Station,uie_rb84,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),084,766
Idaho recommendations for insect control [REVISION/Reprint],"Portman, Roland W.; Manis, Hubert C.",1958-06-01,"74 p.,  Idaho Agricultural Extension Service, Bulletin 216, June 1958.",insect control; Insect pests--Control--Idaho,University of Idaho. Agricultural Extension Service,uica_b216_58,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),216,850
Idaho bountiful and golden gem snap beans resistant to mosaic and curly top,"Dean, Leslie; Hungerford, Charles W.;",1954-08-01,"7 p.,  Idaho Agricultural Experiment Station, Bulletin 217, August 1954.",disease resistance; green beans; Curly top disease; Mosaic diseases; Kidney bean--Diseases and pests--Idaho; Kidney bean--Disease and pest resistance--Idaho--Genetic aspects,Idaho Agricultural Experiment Station,uica_b217,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),217,858
Injury to Russet Burbank potatoes by different harvesting machines,"Sparks, Walter C.",1954-07-01,"24 p.,  Idaho Agricultural Experiment Station, Bulletin 218, July 1954.",mechanical harvesting; plant damage; potatoes; Potatoes--Harvesting--Machinery; Potatoes--Wounds and injuries,Idaho Agricultural Experiment Station,uica_b218,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),218,883
Small fruit diseases and their control,"Helton, Audus W.",1954-07-01,"44 p.,  Idaho Agricultural Experiment Station, Bulletin 219, July 1954.",disease control; plant diseases and disorders; small fruits; Fruit--Diseases and pests; Fruit--Diseases and pests--Control,Idaho Agricultural Experiment Station,uica_b219,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),219,927
Effects of mechanical injury upon the storage losses of Russet Burbank potatoes,"Sparks, Walter C.",1954-11-01,"15 p.,  Idaho Agricultural Experiment Station, Bulletin 220, November 1954.",food storage; plant damage; potatoes; Potatoes--Storage--Diseases and injuries; Potatoes--Machinery,Idaho Agricultural Experiment Station,uica_b220,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),220,943
Powdery mildew control in Idaho orchards,"Helton, Audus W.",1954-10-01,"7 p.,  Idaho Agricultural Experiment Station, Bulletin 221, October 1954.",disease control; orchards; powdery mildew; Powdery mildew diseases--Idaho; Fruit--Diseases and pests--Idaho,Idaho Agricultural Experiment Station,uica_b221,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),221,951
Fertilizers for sweet corn,"Bullard, E.T.; Woodbury, George W.",1954-11-01,"12 p.,  Idaho Agricultural Experiment Station, Bulletin 223, November 1954.",corn; fertilizer application; Sweet corn--Fertilizers,Idaho Agricultural Experiment Station,uica_b223,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),223,964
Beef cattle feeding experiments with urea,"Johnson, R.F.; Keith, Thomas B.; Lehrer, W. P. Jr.",1955-02-01,"8 p., Idaho Agricultural Experiment Station, Bulletin 225, February 1955.",beef cattle; cattle feeding; cattle feeds; urea; Beef cattle--Feeding and feeds; Urea as feed,Idaho Agricultural Experiment Station,uica_b225,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),225,973
Idaho broiler production,"Black, Robert E.; Petersen, Charles F.; Lampman, Clifford E.",1955-03-01,"6 p., Idaho Agricultural Experiment Station, Bulletin 226, March 1955.",broiler chickens; poultry industry; Broilers (Poultry)--Idaho,Idaho Agricultural Experiment Station,uica_b226,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),226,980
Fuel values of Idaho woods,"Burlison, Vernon H.; Ellis, Everett L. (Everett Lincoln), 1919-",1955-03,"8 p., Idaho Agricultural Extension Service, Bulletin 228, March 1955.",fuelwood; market value; Fuelwood--Idaho; Fuelwood--Economic aspects--Idaho,University of Idaho. Agricultural Extension Service,uica_b228,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),228,989
Cody oats,"Stevens, Harland",1955-03-01,"4p., Idaho Agricultural Experiment Station, Bulletin 229, March 1955.",oats; Oats--Varieties,Idaho Agricultural Experiment Station,uica_b229,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),229,994
Austrian peas: A protein supplement in poultry rations,"Peterson, Charles F.; Lampman, Clifford E.",1955-04-01,"16 p., Idaho Agricultural Experiment Station, Bulletin 231, April 1955.",livestock feeds; peas; poultry feeding; Poultry--Feeding and feeds; Peas--Varieties; Proteins in animal nutrition,Idaho Agricultural Experiment Station,uica_b231,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),231,1011
Western bean cutworm and its control,"Douglass, James R.",1955-05-01,"6 p., Idaho Agricultural Extension Service, Bulletin 233, May 1955.",insect control; Richia albicosta; Western bean cutworm; Western bean cutworm--Control,University of Idaho. Agricultual Extension Service,uica_b233,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Libra",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),233,1018
"Sodar wheatgrass (214, Bulletin, 1954)","Douglas, Donald S.; Ensign, Ronald D.",1954-04-01,"5 p., Idaho Agricultural Experiment Station, Bulletin 234, April 1954.",Elymus lanceolatus subsp. lanceolatus; Wheatgrass (Wheat)--Varieties,Idaho Agricultural Experiment Station,uica_b234,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),234,1024
Guide in answering basic questions on farm machinery costs,"Choate, Leo E.; Walker, Scott A.",1954-11-01,"20 p.,  Idaho Agricultural Experiment Station, Bulletin 224, November 1954.",agricultural machinery and equipment; operating costs; Agricultural machinery--Cost of operation,Idaho Agricultural Experiment Station,uica_b224,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),224,1044
Vegetable varieties for Idaho gardens,"Horn, Anton S.",1967-03-01,"13 p., Idaho Agricultural Extension Service, Bulletin 232, March 1967.",home gardens; vegetable gardens; Vegetables--Varieties--Idaho; Vegetable gardening--Idaho,University of Idaho. Agricultual Extension Service,uica_b232,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Libra",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),232,1058
Safflower production,"Klages, Karl H.W.",1954-11-01,"16 p.,  Idaho Agricultural Experiment Station, Bulletin 222, November 1954.",Carthamus tinctorius; crop production; Safflower--Idaho,Idaho Agricultural Experiment Station,uica_b222,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),222,1075
Idaho 4-H club: Leaders' guide,"Warren, D. E.",1955-04-01,"56 p., College of Agriculture Extension Service, Bulletin 230, April 1955.","4-H clubs; leadership; 4-H clubs--Idaho--Handbooks, manuals, etc.",University of Idaho. Agricultural Extension Service,uica_b230,"http://rightsstatements.org/page/InC-EDU/1.0/?language=en | Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",Special Collections Idaho S 53 (Between E3 - E415),application/pdf,text,2010-03,eng,Bulletin (University of Idaho. College of Agriculture),230,1129
