title,creator,description,date,Date Approximate,subjects,source,publisher,book-relationship,identifier-original,format-original,format,type,rights,language,location,geonames,latitude,longitude,link,object-id
One Legged Lumberjack,I.V. Anderson,"A lumberjack named Callahan, who worked for Ohio Match Company, standing in a log chute. The photo was taken at Burnt Cabin Creek in the Coeur d'Alene National Forest. The man's name was mentioned in a letter from Strong to Webb on May 4th 1970.",1/1/27,,lumbermen; handicapped;  chutes;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 132,69_2_B-17,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Burnt Cabin Mine, Kootenai County, Idaho, United States",http://www.geonames.org/5587414/burnt-cabin-mine.html,47.7668,-116.5806,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/50,50
Champion Women Sawyers,New York Daily Mirror,"Champion sawyers Ruth Turcotte (left) & June DeGraff (right) sawing a dead elm tree in Central Park, New York. Newspaper clipping. Courtesy Ruth Hoerschgen Turcotte, Rose Lake, Idaho.",1/1/34,,lumbermen; women; Ulmus (genus); winners; clippings (information artifacts);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-18,black and white copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Central Park, New York County, New York, United States",http://www.geonames.org/5112085/central-park.html,40.783,-73.9651,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/51,51
Milwaukee Lumber Company Log Train and Crew,,"East Fork St. Joe-Big Creek drainage. Courtesy of the Superior Publishing Company in Seattle, Washington.",1/1/13,,railroad (infrastructure); steam locomotives; flatcars; log (wood); group portraits; blue collar workers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 122,69_2_B-3,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"East Fork Big Creek, Latah County, Idaho, United States",http://www.geonames.org/5591912/east-fork-big-creek.html,46.9906,-116.7001,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/52,52
Corliss Steam Engine and Sign,Neil Fullerton,"Corliss Steam Engine sign and """"The Big Wheel"""" in Newport, Washington.",4/15/67,,information signs; steam engines (engines);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-15,black and white negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Newport, Pend Oreille County, Washington, United States",http://www.geonames.org/5804694/newport.html,48.1819,-117.0354,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/53,53
Champion Women Sawyers,,"Ruth Turcotte (left) with saw and June DeGraff (right) with axe, in Rose Lake, Idaho. A crowd of spectators are in the background. Courtesy of Ruth Hoerschger Turcotte.",1/1/34,,group portraits; contests; winners; lumbermen; women;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 159,69_2_B-19,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Rose Lake, Kootenai County, Idaho, United States",http://www.geonames.org/5605802/rose-lake.html,47.532,-116.4728,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/54,54
Loading Railway Cars,Neil Fullerton,"Two men using an """"A"""" frame to load railway cars, near Prichard, Idaho.",1/1/23,yes,railroad (infrastructure); flatcars; freight cars; log (wood); arch;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-6,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Prichard, Shoshone County, Idaho, United States",http://www.geonames.org/5604496/prichard.html,47.6563,-115.9768,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/55,55
Fort Coeur d'Alene,,A view of Fort Coeur d'Alene (later Fort Sherman) and the mouth of the Coeur D'Alene River.,1884-01-01,,fort; snow; winter;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 9,69_2_B-20,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"North Idaho College, Kootenai County, Idaho, United States",http://www.geonames.org/5602541/north-idaho-college.html,47.6875,-116.796,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/57,57
Lake Steamers Sign,Neil Fullerton,"Lake Steamers historical marker. On Highway 10, east of Coeur d'Alene, Idaho. Sign reads as follows: """" Lake Steamers. Built by the Army in 1880 to carry hay and supplies for Fort Coeur d'Alene, the 'Amelia Wheaton' was the first of a long list of steamers on this lake. Commercial steam boating began in 1884 with the mining rush. In later years, fleets of tall-funneled boats hauled freight, towed logs, and carried passengers and excursionists. Steamers served the lake and river communities until highways changed the transportation pattern.""""",4/17/67,,information signs;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-16,black and white negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Silver Beach, Kootenai County, Idaho, United States",http://www.geonames.org/5607275/silver-beach.html,47.648,-116.7358,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/59,59
Incline Railroad,R.N. Cunningham,"Edward Rutledge Timber Company incline railroad along Marble Creek, near St. Joe National Forest. Photo is credited to the U.S.D.A. Forest Service.",1/1/23,,railroad (infrastructure);  forests (plant communities);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 124,69_2_B-5,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Duplex Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5591718/duplex-creek.html,47.0915,-116.0068,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/60,60
Tugboat Towing Logs,Neil Fullerton,Tugboat pulling logs from St. Maries River into St. Joe River.,6/6/42,,tugboats; rivers; log (wood); houseboats;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-8,black and white negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Saint Maries River, Benewah County, Idaho, United States",http://www.geonames.org/5606239/saint-maries-river.html,47.3165,-116.5556,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/61,61
Fresh Burn Near Slate Creek,,"Fresh burn in the Slate Creek area, near the Little North Fork of the St. Joe River. The same area had also burned in the 1910 fire and was salvage logged. Courtesy of W. G. Guernsey.",1/1/30,yes,forests (plant communities); fires (events);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 38,69_2_B-21,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Slate Creek, Latah County, Idaho, United States",http://www.geonames.org/5607528/slate-creek.html,46.999,-116.5371,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/62,62
Log Jam,Neil Fullerton,"Log jam above drawbridge along Milwaukee Railroad tracks, St. Maries, Idaho.",4/18/38,,log (wood); floods (natural events); railroad (infrastructure);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-22,black and white negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Saint Maries River, Benewah County, Idaho, United States",http://www.geonames.org/5606239/saint-maries-river.html,47.3167,-116.5549,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/63,63
Log Jam,Neil Fullerton,"Log jam above drawbridge, St. Maries, Idaho.",4/18/38,,log (wood); floods (natural events; railroad (infrastructure); rivers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-23,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Saint Maries River, Benewah County, Idaho, United States",http://www.geonames.org/5606239/saint-maries-river.html,47.3167,-116.5549,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/64,64
Fire Damaged Lumber Yard,Neil Fullerton,Rogers Lumber Company Yard at St. Maries after a plant fire. Note heat buckled rails.,9/2/40,,lumberyards (stores); fires (events); railroads (infrastructure);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 41. Also print.,69_2_B-24,black and white negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Saint Maries, Benewah County, Idaho, United States",http://www.geonames.org/5606232/saint-maries.html,47.3142,-116.5634,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/65,65
December Flood,,"Flood in St. Maries, Idaho. Taken in December.",1/1/33,,floods (natural events); rivers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_B-25,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Saint Maries, Benewah County, Idaho, United States",http://www.geonames.org/5606232/saint-maries.html,47.3142,-116.5634,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/66,66
"Flood in St. Maries, Idaho.",,"A view of Milwaukee Lumber Company during flood, St. Maries, Idaho. Taken in December.",1/1/33,,lumberyards (stores); floods (natural events);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 35,69_2_B-26,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Saint Maries, Benewah County, Idaho, United States",http://www.geonames.org/5606232/saint-maries.html,47.3142,-116.5634,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/68,68
Logging Camp,,"Rose Lake Lumber Company, Falls Creek Camp. According to Dick Reed this was a typical camp of that time: capacity about 40 men, double deck single bunks, five bunkhouses, wash house, office, _ shack, kitchen and mess house, barn blacksmith shop, barn wood shack, and filers shack. Courtesy of Tom Reed, Coeur d'Alene.",1/1/24,,lumber camps;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 43,69_2_B-27,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Falls Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5592790/falls-creek.html,47.7461,-116.0209,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/69,69
Typical Logging Chute,,"Typical log chute with tread for horses used in trailing, near Big Creek in the St. Joe River area. Courtesy of St. Maries Gazette-Record.",1/1/15,yes,chutes; log (wood);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 111,69_2_B-28,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"East Fork Big Creek, Latah County, Idaho, United States",http://www.geonames.org/5591912/east-fork-big-creek.html,46.9906,-116.7001,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/70,70
Horses Trailing Logs in Chute,I.V. Anderson,Horses trailing logs in chute. Emerald Creek. Creek Camp #2.Credit to U.S.D.A. Forest Service.,6/23/28,,chutes; log (wood); draft horses;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 114,69_2_B-29,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"East Fork Emerald Creek, Benewah County, Idaho, United States",http://www.geonames.org/5591971/east-fork-emerald-creek.html,47.0245,-116.329,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/71,71
Diamond Match Company Chute and Flume,,Diamond Match Company chute and flume. Big Creek. Kaniksu National Forest.,1/1/28,,chutes; flumes; forests (plant community);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-30,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Fall Creek, Bonner County, Idaho, United States",http://www.geonames.org/5592730/fall-creek.html,48.3359,-116.1668,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/72,72
Team of Draft Horses,"Trux"""" Truskowsky","Team of Percherons skidding corral poles driven by Kenneth Smith at the Tree Farm, Hayden Lake, Idaho.",1/1/44,yes,draft horses; log (wood); forests (plant communities);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 108,69_2_B-31,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Lake Hayden, Kootenai County, Idaho, United States",http://www.geonames.org/5595333/lake-hayden.html,47.7689,-116.7149,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/73,73
Horses Hauling by Flatboat,,John Connors hauling logging supplies to the Winton Lumber Company convoys by flatboat and team on Coeur d'Alene River. Courtesy Mrs. Miles Robbins.,1/1/23,,rivers; draft horses; boats;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 104,69_2_B-32,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Devils Elbow Background, Shoshone County, Idaho, United States",http://www.geonames.org/5590997/devils-elbow-campground.html,47.7613,-116.0348,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/74,74
Horses Hauling by Flatboat,C.K. McHarg,"Hauling logging supplies by flatboat and team up the North Fork of the Coeur d'Alene River, half mile above Prichard, Idaho. All logging supplies, including camp equipment and machinery, are being transported in this way. Logging railroad being constructed will replace this method.",7/16/23,,rivers; draft horses; boats;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,,69_2_I-33,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Prichard Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5604495/prichard-creek.html,47.6603,-115.9691,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/75,75
Tugboat Fleet,Kyle Walker Donated by the Coeur d'Alene Chamber of Commerce,Lafferty Transportation Company diesel tugboats on Lake Coeur d'Alene.,1/1/55,,tugboats; lakes (bodies of water); fleets;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 126,69_2_B-34,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Black Bay, Kootenai County, Idaho, United States",http://www.geonames.org/5585938/black-bay.html,47.5244,-116.8024,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/76,76
Oxen and Logging Crew,,"Joseph Brown (with lead team of oxen) and his logging crew at Old Sanders, Benewah County, Idaho. Courtesy of Mrs. Day of Sanders, Idaho and Mrs. St. George of Fernwood, Idaho; daughters of Joseph Brown. According to Mrs. St. George the crew includes, with oxen left to right: Joe Brown and Nick Smith; in back left to right: John Jordan, Luther Laws, Charlie Gregg, Cyrus Magers, Mr. Nichols, and Sanford (Sandy) Brown.",1/1/07,,group portraits; log (wood); oxen;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 19. Also print.,69_2_B-35,black and white copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Sanders, Benewah County, Idaho, United States",http://www.geonames.org/5606410/sanders.html,47.107,-116.7965,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/77,77
White Pine Stand,Sidney Streator,"Stand of white pine timber near Cascade Creek, Coeur d'Alene National Forest. Operation of Winton Lumber Company, Gibbs, Idaho.",1/1/27,,white pine (wood); forest plant communities);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. xii,69_2_B-64,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Cascade Creek, Kootenai County, Idaho, United States",http://www.geonames.org/5588167/cascade-creek.html,47.7769,-116.478,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/78,78
White Pine Sale,,"White pine Log Decks, Potlatch Forests Incorporated Sale Homestead Creek. Neil Fullerton with scale stick on deck of white pine logs, St. Joe National Forest. Taken in July. This sale was strictly a White Pine Sale except for a few choice Spruce and Larch which were taken from the road right away. Courtesy Neil Fullerton.",1/1/40,,portraits; log (wood); sales events;  white pine (wood);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 130,69_2_B-36,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Baby Grand Mountain, Latah County, Idaho, United States",http://www.geonames.org/5584423/baby-grand-mountain.html,47.0041,-116.5056,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/79,79
Logs Exiting the Log Chute,Charles K. McHarg,"Log hits the pond from the Delaney Creek chute, Little North Fork Coeur d'Alene river. Winton Lumber Company operations. Credit to U.S.D.A. Forest Service.",7/8/29,,flowage; log (wood); chutes; ponds (water);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 112,69_2_B-37,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Delaney Creek, Kootenai County, Idaho, United States",http://www.geonames.org/5590908/delaney-creek.html,47.744,-116.4291,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/80,80
Logs Exiting the Log Chute,C.H. Gregary,"Milwaukee Lumber Company log chute, St. Joe National Forest. A man looks on as fire damaged logs are chuted to the log pond. Credit to U.S.D.A. Forest Service.",1/1/20,,salvage logging; log (wood); flowage; chutes; ponds (water);,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 40,69_2_B-38,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Rochat Creek, Benewah County, Idaho, United States",http://www.geonames.org/5605533/rochat-creek.html,47.3288,-116.4556,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/81,81
Chute meets Flume,,Winston Lumber Company Falls Creek Chute and Flume. According to Dick Reed this was a running chute most of the time  but a man and horse were kept near the junction in case the logs stopped before they got to the flume. Generally the logs entered the flume of their own momentum. Note the tow path to the left of the junction. The white spot is a plume of water thrown up when the log from the chute plunged into the water in the flume. You can also see another log in the chute about ready to hit the flume. Courtesy Tom Reed.,1/1/25,,chutes; log (wood); flumes;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 119,69_2_B-39,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Falls Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5592790/falls-creek.html,47.7461,-116.0209,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/82,82
Holt Tractor Loaded with Logs,,"Tractor ready to pull a load of logs to the river, Ray Rauch operation near Newport, Washington. Holt Caterpillar """"60"""" Tractor pulling  """"bummer"""", two wagons and three trailers loaded with a total 22,270 board feet of logs. Ray Rauch is the man wearing a vest. Courtesy Lester M. Tarbet.",1/1/13,,logs (wood); crawler tractors; group portraits; draft horses;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 131. Also print,69_2_B-40,black and white film copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Newport, Pend Oreille County, Washington, United States",http://www.geonames.org/5804694/newport.html,48.1819,-117.0354,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/83,83
Sleigh Loaded with Logs,,"Sleigh load of logs drawn by horses. Ray Rauch operation near Newport, Washington. Load is a total of 12,400 board feet log measure) Men are left to right: Walt Cooley, Sean Cooley, Seifers Golt, and Ray R. Rauch. The haul was 6 miles and was run twice a day. It cost $2.75 per mile to mill. Courtesy Lester M. Tarbet.",1/1/11,,logs (wood); draft horses; snow; winter; group portraits; sleighs;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 109. Also print,69_2_B-41,black and white film copy negative,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Newport, Pend Oreille County, Washington, United States",http://www.geonames.org/5804694/newport.html,48.1819,-117.0354,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/84,84
Flume Crew Separating Logs,,"Crew separating logs at the Rose Lake Lumber Company flume, Falls Creek. Courtesy of Tom Reed.",1/1/25,,flumes; log (wood); blue collar workers;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 118,69_2_B-42,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Falls Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5592790/falls-creek.html,47.7461,-116.0209,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/85,85
Pack String,,"Kirtly & Stone mule pack string loaded with hay, 20 miles NE of Prichard, Idaho. The pack train is headed to Rose Lake. According to Dick Reed this was either the Falls Creek camp 2 or 3 of the Winton Lumber Company. Men are left to right: Bobby Sears, Bob Conners (packer in the 10 gallon hat), and an unidentified man.",1/1/25,,mules (mammals); hay;,"PG 6069 MG 69, White Pine: King of Many Waters Collection",Mountain Press Publishing Company,WPKOMW p. 105,69_2_B-43,black and white print,image/jpg,Image;StillImage,"Digital image, University of Idaho Library, 2015.",,"Falls Creek, Shoshone County, Idaho, United States",http://www.geonames.org/5592790/falls-creek.html,47.7461,-116.0209,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/86,86
