title,description,creator,date,subject,source,orig-id,rights,type,format,object-d
Boats at harbor,Boats tethered and moored in harbor.,"Iddings, John Edward",1927,"India -- Pictorial works;; boats, transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 015","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,324
Huddart Parker pier,Huddart Parker Ltr pier in an unknown location.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 016","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,325
Mont-Saint-Michel,"Mont-Saint-Michel in Normandy, France.","Iddings, John Edward",1927,Le Mont-Saint-Michel (France); Normandy (France);; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 009","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,326
"Ganges River, India",Ganges River in India. People and boats can be seen in the busy thoroughfare.,"Iddings, John Edward",1927,"Ganges River (India and Bangladesh); Rivers -- India;; boats, transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 017","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,327
Men working in a body of water,"Men working in a body of water, either for construction purposes or harvesting materials.","Iddings, John Edward",1927,India -- Pictorial works;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 018","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,328
Woman washing laundry in a public basin,A woman washing laundry in public basins with a fountain in the foreground.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 019","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,329
Men and cattle in front of a building,Northwest Livestock Association. Men and cattle in front of a building before entering to show cattle.,"Iddings, John Edward",1927,Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 020","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,330
Water-wheel,A water-wheel in a ground level channel.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 021","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,331
Bullock cart [01],Men and boys loading a bullock cart pulled by two oxen. (1 duplicate),"Iddings, John Edward",1927,"Oxen; Hay -- Handling; Livestock;; transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 022","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,332
Bullock cart [02],Men and boys posing by a bullock cart pulled by two oxen.,"Iddings, John Edward",1927,"Oxen; Hay -- Handling; Livestock;; transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 023","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,333
Bullock cart [03],Bullock cart pulled by an ox,"Iddings, John Edward",1927,"Ox; Livestock;; transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 024","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,334
"Canterbury Agricultural College, New Zealand",Canterbury Agricultural College in New Zealand,"Iddings, John Edward",1927,Lincoln (N.Z.);; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 025","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,335
Man and woman in front of criosphinxes,"A man and two women posing in front of the criosphinxes (ram-headed) that represent the god Amon, which leads to the entrance to the Karnak Temple. Luxor, Egypt","Iddings, John Edward",1927,Egypt -- Antiquities; Temples -- Egypt; Luxor (Egypt);; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 010","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,336
"Experimental Institute for Livestock in Rome, Italy","Istituto Sperimentale Zootecnica di Roma. Italy (Experimental Institute for Livestock in Rome, Italy.)","Iddings, John Edward",1927,Rome (Italy);; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 026","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,337
Maud Iddings at a hot springs,Maud Iddings with unidentified woman at a hot springs.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 027","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,338
Maud Iddings outside a ceremonial building,"Maud Iddings with unidentified woman outside a small ceremonial building, the external walls of which are exquisitely decorated. [Bath house?]","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 028","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,339
"Mountains, boats, and buildings with a body of water in the foreground","Mountains, boats, and buildings from an unknown location with a body of water in the foreground.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 029","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,340
House with water tank,House with water tank at the back. A wire fence surrounds the building.,"Iddings, John Edward",1927,Dwellings;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 030","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,341
Two cars in front of a building,Two cars are parked in front of a building; a brick structure consisting of two joined cylinders stands in the back.,"Iddings, John Edward",1927,"transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 031","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,342
Bullock cart [04],"Bullock cart pulled by an ox, in front of a drapery store. A sign on the cart reads: W. R. Perera","Iddings, John Edward",1927,"Ox; Livestock;; transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 032","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,343
Street parade in Belgium,Street parade with a group of persons carrying Rotary International logo in Belgium.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 033","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,344
Boats in a harbor,Boats in a harbor,"Iddings, John Edward",1927,"transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 034","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,345
Two women and a man in front of tombs,Two women and a man standing at the entrance of what appears to be a tomb in the style of the pyramids.,"Iddings, John Edward",1927,Tombs -- Egypt; Great Pyramid (Egypt);; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 011","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,346
Group of people in front of a building,"Group of men, women, children, and a dog posing outside a residential building. No individuals able to be identified.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 012","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,347
Street parade,Women follow behind a group of individuals carrying feather topped poles.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 035","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,348
Stable,A building. Inscription in Italian above one of the doors reads: Stalla [stable],"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 040","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,349
Men carrying heavy containers,Three men leaning on sticks carrying loaded bags on their shoulders. Behind them what appears to be a man unloading a donkey. (1 duplicate),"Iddings, John Edward",1927,"transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 041","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,350
Facade of a building [01],Facade of a building in Italy.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 042","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,351
Plants in pots,People looking at pots of plants and flowers arranged on the ground on a street,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 043","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,352
Panoramic view of a city,Panoramic view of a city,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 044","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,353
Maud Iddings in front of a cathedral,Maud Iddings poses in front of a cathedral in an unknown location.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 045","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,354
Men judging a pig,"Men observing a pig, likely for purchasing consideration. (1 duplicate)","Iddings, John Edward",1927,Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 036","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,355
Facade of a building [02],Facade of a building in the distance in an unknown location. Two men are seen in the foreground.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 046","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,356
Bullock cart [05],"A loaded bullock cart pulled by three oxen, with driver","Iddings, John Edward",1927,Oxen; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 047","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,357
Passengers looking at a cow,Passengers in a train looking at a cow through the windows of a passenger train.,"Iddings, John Edward",1927,Passenger trains; Cows; Livestock;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 048","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,358
Dock,A dock without ships or boats moored.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 049","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,359
Woman and a girl carrying baskets,A woman and a girl carrying baskets on their heads. An iron gate can be seen in the background.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 050","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,360
Two goats on a rock,Two goats on a steep rock.,"Iddings, John Edward",1927,Goats;; goats,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 051","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,361
