title,description,subjects,date,source,latitude,longitude,format-original,format,type,rights,object-id
"Herb Carlson, University of Idaho boxer",University of Idaho boxer - Herb Carlson [Date: 1948],boxing; boxers,1948,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",17
"Laune Erickson, University of Idaho boxer","Laune Erickson, University of Idaho boxer - 1940 and 1941 NCAA Champion; 165 lbs. 1947 NCAA Champion; 175 lbs. [Date: 1938]",NCAA championships; boxing; boxers,1938,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",18
"Julian ""Bud"" Benoit, University of Idaho boxer","Julian ""Bud"" Benoit, University of Idaho boxer - 1938 NCAA Champion; 135 lbs [Date: 1938]",NCAA championships; boxing; boxers,1938,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",19
"Rolly Shumway, University of Idaho boxer","Rolly Shumway, University of Idaho boxer - 1937 NCAA Champion; 145 lbs [Date: 1937]",NCAA championships; boxing; boxers,1937,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",20
"Tiger Veto Berllus, University of Idaho boxer","Tiger Veto Berllus, University of Idaho boxer - signed ""To Perry with best regards Tiger Vic Berllus"" [Date: 1941]",boxing; boxer,1941,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",21
"Frank Echevarria, University of Idaho boxer NCAA champ, 1951-52, with trophies","Frank Echevarria, University of Idaho boxer NCAA champ, 1951-52, with trophies - NCAA Champion 1951-52 [Date: 1952]",trophies; NCAA championships; boxing; boxers,1952,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",22
"John Webster, University of Idaho boxer","John Webster, University of Idaho boxer - 1940 NCAA Champion; 175 lbs [Date: 1940]",NCAA championships; boxing; boxers,1940,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",23
University of Idaho boxing squad National Champions - 1940,"University of Idaho boxing squad National Champions - 1940 - L-r: Frank Kara, Ted Kara, Sam Zingale, Coach Louie August, John Webster, Laune Erickson. [Date: 1940]",trophies; boxing; boxers; boxing squad,1940,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",24
1947-1948 University of Idaho boxing squad [01],"University of Idaho boxing squad - First row: Dale Hammond, DeForest Tovey, Ed Morgan, Durmond Look, Norm Walker.  Second row: John Dominick, Darrell Titus, Len Walker, Thane Johnson, Herb Carlson, Coach Ken Butler.  Third row: Trudy Marks, Vern Bahr, Walt Ward, Don Ellis, Evan Ellis, Don Hazelbaker. [Date: 1948]",boxing squad; boxing; boxers,1948,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",25
University of Idaho boxing squad 1941 Sugar Bowl Champions,"University of Idaho boxing squad Sugar Bowl Champions - L-r: Coach Louie August, Frank Kara, Chase Anderson, Ted Kara, Laune Erickson. [Date: 1941]",championships; boxing squad; boxing; boxers; trophies,1941,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",26
University of Idaho boxing squad [02],"University of Idaho boxing squad - Front row: manager Mike Williamson, Ray Radford, Paul Williams, Ray Engberson, Bill Williams.  Back row: Coach Ken Butler, Herb Carlson, Ted Diehl, Captain Laune Erickson, Larry Hanson, manager Pat Abbott. [Date: 1947]",boxing squad; boxers; boxing,1947,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",27
1948-1949 University of Idaho  boxing squad,"University of Idaho 1948-1949 boxing squad - Coach Frank Young, Len Walker, Vern Gasser, Vern Bahr, Thane Johnson, Woody DeLorme Don Ellis, Ted Diehl, Herb Carlson, DeForest Tovey, Norm Walker.  (4th nationally) [Date: 1949]",national championships; boxing squad; boxing; boxers,1949,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",28
1936-1937 University of Idaho freshman boxing squad,"University of Idaho freshman boxing squad - Front row: Patsy Fitzpatrick, Pete Cenarrusa, Bud Benoit, John Gessner, Right, Jackie Doone, Back row: Jim Clabby, Forest Ober, Alex Passic, Bill Barnett [Date: 1937]",freshmen; boxing squad; boxers; boxing,1937,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",29
1934-1935 University of Idaho boxing squad,"University of Idaho boxing squad - Front row: V. Gossett, R. Miller, J. August, W. Stevens, G. Riddle, E. Spencer, L. Purcell, G. Erickson, J. Laing, L. Rich, W. Morrow, Coach Louie August. Back row: D. Gudmundsen, S. Woodruff, B. Carssow, A. Wilson, D. Strickfaden, K. Preston, J. Rayburn, R. Crowley, R. Hanford [Date: 1935]",boxing squad; boxing; boxers,1935,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,4x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",30
1935-1936 University of Idaho boxing squad,"University of Idaho boxing squad - First row: Ralph Miller, Earl Evans, Luke Percell, Bill Morrow, Glen Craig, Joey August, Aaron Blewett, Dick Lambert, Coach Louie August.  Second row: manager Gossett, Clark Francisco, unidentified, Paul George, Bender Luce, Jim Laing, Rolly Shumway.  Third row: manager Lloyd Evans, Carlos Perkins, Merle Britton, Frank O'Brien, unidentified, unidentified, manager Con Underdahl. [Date: 1936]",boxing squad; boxing; boxers,1936,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,4x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",31
1937-1938 University of Idaho boxing squad,"1937-1938  University of Idaho boxing squad - Front row: Coach Louie August, Pete Cenarrusa, Milt Osterhaut, Captain Ralph Miller, Patsy Fitzpatrick, Max Hosada,  Back row: Ross Sundberg, Jim Nixon, Bud Benoit, Bill Morrow, Joe Fallini, Carl Killian [Date: 1938]",boxing squad; boxing; boxers,1938,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,4x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",32
University of Idaho 1950 boxing squad,"University of Idaho 1950 boxing squad - L-r: (front) Herb Carlson, Norm Walker, DeForest Tovey, Frank Echevarria, Len Walker, Bud Lawson, Frank Gillette. (back) Ted Diehl, Thane Johnson, Larry Hanson, Vern Bahr, Don Ellis, Mervin Pierce, Doyle Haskins. [Date: 1950]",boxers,1950,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",33
1936-1937 University of Idaho varsity boxing squad,"1936-1937  University of Idaho varsity boxing squad - Front row: Ralph Miller, Aaron Blewett, Luke Prucell, Joe Fallini, Frank O'Brien, Back row: Milt Osterhout, Jim Nixon, Walt McGill, Captain Ross Sundberg, Sherm Schmidt. [Date: 1937]",boxing squad; varsity boxing squad; boxing; boxers,1937,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,5x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",34
1933-1934 University of Idaho boxing squad,"1933-1934 University of Idaho boxing squad - Front row: D. Butler, G. Gage, R. Sundberg, C. Fickes, L. Paskin, L. Denton, L. August, R. Ames, C. Greathouse, H. Coppedge.  Back row: M. Brigham, E. Hollinger, M. Fickes, E. Ritzheimer. [Date: 1934]",boxing squad; boxing; boxers,1934,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,4x7 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",35
"University of Idaho, Pacific Coast Intercollegiate boxing team trophies","University of Idaho, Pacific Coast Intercollegiate boxing team trophies - Frank Young, Boxing Coach [Date: 1947]",coach's; team trophies,1947,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",38.581572,-121.4944,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",36
Pacific Coast Intercollegiate boxing champions [01],"Pacific Coast Intercollegiate boxing champions - Left to Right: Heavyweight, Charles Drazenovich, Penn State; 175# Carl Maxey, Gonzaga University; 165# Herb Carlson, University of Idaho; 155# Eli Thomas, Gonzaga University; 145# Len Walker, University of Idaho; 135# Everret Conley, Washington State; 130# Ted Thrash, Louisiana State; 125# Mac Martinez, San Jose State. [Date: 1950]",Pacific Coast Intercollegiate boxing championships; championships; boxing; boxers; boxing squad,1950,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",38.581572,-121.4944,8x10 black and white print,image/jpg,Image;StillImage,"http://rightsstatements.org/vocab/InC-EDU/1.0/ |Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",37
