title,creator,date,aprox,description,subjects,location,region,latitude,longitude,orig-id,source,format,type,link,object-id
"Wallace (Idaho), Forest fire of 1910","Barnard Studio (Wallace, Idaho)",8/25/1910,,"Image of Wallace, Idaho after the fire of August 20, 1910.",firesbuildings (structures)railroadsrailroads cars,United States--Idaho--Shoshone County--Wallace,Wallace,47.471605,-115.922208,PG 8-X089b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/10,10
"Wallace (Idaho), Forest fire of 1910","Barnard Studio (Wallace, Idaho)",8/25/1910,,"Image of Wallace, Idaho after the fire of August 20, 1910. Caption on front: &quot;&quot;General view from Samuel&apos;s Hotel, showing Oregon, Washington Railroad and Navigation station, August 20, 1910&quot;&quot;",firesbuildings (structures)railroadsrailroads cars,United States--Idaho--Shoshone County--Wallace,Wallace,47.471625,-115.922228,PG 8-X090,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/11,11
"Wallace (Idaho), City Dairy","Barnard Studio (Wallace, Idaho)",1920,yes,Interior view of a dairy where cows being milked by machine.,dairy barnsbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,47.473379,-115.923749,PG 8-X005a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/12,12
"Wallace (Idaho), Forest fire of 1910, Samuel&apos;s Hotel","Barnard Studio (Wallace, Idaho)",8/22/1910,,"Image of Wallace, Idaho after the fire of August 20, 1910, shows the corner of Samuel&apos;s Hotel on August 22, 1910.",firesbuildings (structures)groups of peoplewagons (cargo vehicles),United States--Idaho--Shoshone County--Wallace,Wallace,47.471645,-115.922248,PG 8-X092,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/13,13
"Wallace (Idaho), Forest fire of 1910","Barnard Studio (Wallace, Idaho)",8/22/1910,,"Image of Wallace, Idaho after the fire of August 20, 1910.",firesbuildings (structures)groups of people,United States--Idaho--Shoshone County--Wallace,Wallace,47.471635,-115.922238,PG 8-X091a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/14,14
"Wallace (Idaho), Flood of 1896","Barnard Studio (Wallace, Idaho)",1896-03-01,yes,"Image is of Wallace, Idaho after the flood of 1896. Caption on front: ' Results of flood on placer creek, Wallace, Idaho late in November 1896. Similar flood occurred late in January, 1894 but no photos available. These were flash floods as result of deep snow, heavy rains, Chinook winds that removed the snow very fast",buildings (structures)groups of peoplefloods (natural events),United States--Idaho--Shoshone County--Wallace,Wallace,47.475761,-115.931272,PG 8-X093,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/15,15
"Wallace (Idaho), Flood of 1906","Barnard Studio (Wallace, Idaho)",11/15/1906,,"Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906.",buildings (structures)floods (natural events),United States--Idaho--Shoshone County--Wallace,Wallace,47.472115,-115.915994,PG 8-X094,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/16,16
"Wallace (Idaho), Flood of 1897","Barnard Studio (Wallace, Idaho)",1897,yes,"Image is of Wallace, Idaho after the flood of 1897.",buildings (structures)dwellingsfloods (natural events),United States--Idaho--Shoshone County--Wallace,Wallace,47.475772,-115.931287,PG 8-X095a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/17,17
Coeur d&apos;Alene cut off,"Barnard Studio (Wallace, Idaho)",1913,yes,Image shows a scenic view of the N.P. [Northern Pacific] train on the South bridge.,railroads bridgessteam locomotives,United States--Idaho,,,,PG 8-X049a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/18,18
"Wallace (Idaho), Flood of 1906","Barnard Studio (Wallace, Idaho)",11/15/1906,,"Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906.",buildings (structures)groups of peoplerailroadsfloods (natural events),United States--Idaho--Shoshone County--Wallace,Wallace,47.472115,-115.915984,PG 8-X096,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/19,19
"Wallace (Idaho), Flood of 1906","Barnard Studio (Wallace, Idaho)",11/15/1906,,"Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906.",buildings (structures)groups of peoplefloods (natural events),United States--Idaho--Shoshone County--Wallace,Wallace,47.472125,-115.915974,PG 8-X097,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/20,20
"Wallace (Idaho), Wallace High School, Gymnasium, 1915","Barnard Studio (Wallace, Idaho)",5/27/1915,,"Interior view of the Wallace High School Gymnasium, May 27, 1915. Students are pictured using various gymnastic equipment.",groups of peoplegymnasiums,United States--Idaho--Shoshone County--Wallace,Wallace,47.473851,-115.926165,PG 8-X098,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/21,21
"Burke (Idaho), Gorge Gulch, 1907","Barnard Studio (Wallace, Idaho)",1907,yes,"A distant view of Gorge Gulch and Burke, Idaho in May 1907. Caption on back: 'Benton Mag. Ce. Dump'",buildings (structures)dwellingsrailroads,United States--Idaho--Shoshone County--Burke,Burke,47.522356,-115.81256,PG 8-X099,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/22,22
"Wallace (Idaho), City Dairy","Barnard Studio (Wallace, Idaho)",1920,yes,Interior view of a dairy where cows being milked by machine.,dairy barnsbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,47.473379,-115.923749,PG 8-X005b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/23,23
"Wallace (Idaho), Grand Theatre","Barnard Studio (Wallace, Idaho)",1910,yes,"Interior view of the Grand Theatre in Wallace, Idaho, showing the drop curtain.",asbestos curtainstheaters (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,,,PG 8-X100,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/24,24
"Wallace (Idaho), Grand Theatre","Barnard Studio (Wallace, Idaho)",1916,yes,"Interior view from the stage of the Grand Theater in Wallace, Idaho.",theaters (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,,,PG 8-X101a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/25,25
"Wallace (Idaho), Grand Theatre (new)","Barnard Studio (Wallace, Idaho)",1916,yes,"Interior view of the new Grand Theater in Wallace, Idaho.",asbestos curtainstheaters (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,,,PG 8-X101b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/26,26
"Wallace (Idaho), Grand Theatre, 1916","Barnard Studio (Wallace, Idaho)",1916,yes,"Exterior view of the Grand Theater in Wallace, Idaho.",buildings (structures)theaters (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,,,PG 8-X102b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/27,27
"Gem (Idaho), 1907","Barnard Studio (Wallace, Idaho)",1907,yes,"Image is of 'The Canyon,' near Hecla Mill, showing two lines of standard gauge railway on 4% grade, two railway spurs and two flumes.",buildings (structures)dwellings,United States--Idaho--Shoshone County--Gem,Burke,47.521953,-115.81455,PG 8-X103,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/28,28
"Gem (Idaho), 1910","Barnard Studio (Wallace, Idaho)",1910,yes,"Image is of &quot;&quot;The Canyon,&quot;&quot; near Hecla Mill, Showing two lines of standard gauge railway on 4% grade, two railway spurs and two flumes",buildings (structures)dwellingsrailroads,United States--Idaho--Shoshone County--Gem,Burke,47.521963,-115.81465,PG 8-X104,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/29,29
"Burke (Idaho), 1914","Barnard Studio (Wallace, Idaho)",4/28/1914,,"Image looking into Burke, Idaho, a Northern Pacific railcar 28031 is pictured on the right.",buildings (structures)railroadsrailroads cars,United States--Idaho--Shoshone County--Burke,Burke,47.521973,-115.81445,PG 8-X105a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/30,30
"Burke (Idaho), 1914","Barnard Studio (Wallace, Idaho)",1914,yes,"Image looking from in town to the Northern Pacific Railway in Burke, Idaho. Photographs was taken for Mr. Goddard, a N.P. [Northern Pacific] claim agent.",buildings (structures)railroadsrailroads cars,United States--Idaho--Shoshone County--Burke,Burke,47.521983,-115.81475,PG 8-X105b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/31,31
Coeur d&apos;Alene cut off,"Barnard Studio (Wallace, Idaho)",1910,yes,Image shows the N.P. [Northern Pacific] train with rotary plow.,steam locomotives,United States--Idaho,,,,PG 8-X049b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/32,32
"Gem (Idaho), 1914","Barnard Studio (Wallace, Idaho)",1914,yes,"View taken on the railroad track going into Gem, Idaho.",buildings (structures)railroads,United States--Idaho--Shoshone County--Gem,Burke,47.507922,-115.869847,PG 8-X106a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/33,33
"Spokane Interstate Fair, Spokane (Wash.), 1908","Barnard Studio (Wallace, Idaho)",1908,yes,Image of a diploma awarded to Black Horse Mine for exhibit of Lead Silver at the Spokane Interstate Fair in 1908.,,United States--Washington--Spokane County--Spokane,Greenacres,47.597914,-115.74749,PG 8-X006,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/34,34
"Gem (Idaho), 1914 [1]","Barnard Studio (Wallace, Idaho)",1914,yes,"View taken on the railroad track going into Gem, Idaho.",buildings (structures)dwellingsrailroads,United States--Idaho--Shoshone County--Gem,Burke,47.507932,-115.869857,PG 8-X106b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/35,35
"Gem (Idaho), 1914 [2]","Barnard Studio (Wallace, Idaho)",1914,yes,"Image of the Northern Pacific Railway taken in Gem, Idaho [1914] for Mr. Goddard a N.P. [Northern Pacific] claim agent.",buildings (structures)dwellingsrailroads,United States--Idaho--Shoshone County--Gem,Burke,47.520278,-115.819167,PG 8-X106c,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/36,36
Golden Chest Mine [1],"Barnard Studio (Wallace, Idaho)",1915,yes,"Image of Golden Chest Mine, a gold mine near Murray, Idaho.",buildings (structures)groups of peoplemills (buildings)railroads,United States--Idaho--Shoshone County,Murray,47.616873,-115.834609,PG 8-X107a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/37,37
Golden Chest Mine [2],"Barnard Studio (Wallace, Idaho)",1915,yes,"Image of Golden Chest Mine, a gold mine near Murray, Idaho.",buildings (structures)mills (buildings)railroads,United States--Idaho--Shoshone County,Murray,47.616863,-115.834619,PG 8-X107b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/38,38
Store front,"Barnard Studio (Wallace, Idaho)",1905,yes,Exterior view of a store front.,buildings (structures),United States--Idaho,,47.472262,-115.923491,PG 8-X108,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/39,39
"Hunter Mill, Mullan (Idaho), 1907","Barnard Studio (Wallace, Idaho)",1907,yes,"Image of the Hunter Mill in Mullan, Idaho.",buildings (structures)mills (buildings)railroads,United States--Idaho--Shoshone County--Mullan,Mullan,47.466012,-115.811012,PG 8-X109,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/40,40
"Wallace (Idaho), Interstate Rubber Co. [1]","Barnard Studio (Wallace, Idaho)",1915,yes,"Interior view of the Interstate Rubber Company in Wallace, Idaho.",equipmentbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,,,PG 8-X110a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/41,41
"Wallace (Idaho), Interstate Rubber Co. [2]","Barnard Studio (Wallace, Idaho)",1915,yes,"Interior view of the Interstate Rubber Company in Wallace, Idaho.",equipmentbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,,,PG 8-X110b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/42,42
"Wallace (Idaho), Interstate Rubber Co. [3]","Barnard Studio (Wallace, Idaho)",1915,yes,"Interior view of the Interstate Rubber Company in Wallace, Idaho.",equipmentbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,,,PG 8-X110c,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/43,43
"Wallace (Idaho), Interstate Rubber Co. [4]","Barnard Studio (Wallace, Idaho)",1915,yes,"Interior view of the Interstate Rubber Company in Wallace, Idaho.",equipmentbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,,,PG 8-X110d,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/44,44
"Arizona Placer mine, Murray (Idaho)","Barnard Studio (Wallace, Idaho)",1911,yes,Image shows hydraulic mining in Dream Gulch. Miners are seen holding a water hose and standing water fall and stream with mining tools.,mines (extracting complexes)mine buildingsgold mines,United States--Idaho--Shoshone County--Murray,Murray,47.627705,-115.873221,PG 8-X008,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/45,45
"Wallace (Idaho), Band Boys, 1908","Barnard Studio (Wallace, Idaho)",7/4/1908,,"Image shows band members posing for a photograph holding their instruments on July 4, 1908.",bands (ensembles),United States--Idaho--Shoshone County--Wallace,Wallace,47.473371,-115.923799,PG 8-X050,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/46,46
"Interstate Callahan Mill, Wallace (Idaho), 1915 [1]","Barnard Studio (Wallace, Idaho)",1915,yes,"Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek.",buildings (structures)mills (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,47.4774999,-115.902675,PG 8-X111a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/47,47
"Interstate Callahan Mill, Wallace (Idaho), 1915 [2]","Barnard Studio (Wallace, Idaho)",1915,yes,"Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek at sunset.",buildings (structures)mills (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,47.4774989,-115.902665,PG 8-X111b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/48,48
"Interstate Callahan Mill, Wallace (Idaho), 1915 [3]","Barnard Studio (Wallace, Idaho)",1915,yes,"Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek.",buildings (structures)mills (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,47.4774979,-115.902655,PG 8-X112,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/49,49
"Interstate Callahan Mill, Wallace (Idaho), 1915 [4]","Barnard Studio (Wallace, Idaho)",1915,yes,"A birds eye view of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek at sunset.",buildings (structures)mills (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,47.4774969,-115.902685,PG 8-X114,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/50,50
"Interstate Callahan Mill, Wallace (Idaho), 1915 [5]","Barnard Studio (Wallace, Idaho)",1915,yes,"Image, taken from the school house, of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek.",buildings (structures)mills (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,47.4750001,-115.902645,PG 8-X115,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/51,51
"Interstate Callahan Mill, Wallace (Idaho), 1915 [6]","Barnard Studio (Wallace, Idaho)",1915,yes,"Image of the bunkhouses at the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek.",camps (temporary settlements)buildings (structures)mills (buildings),United States--Idaho--Shoshone County--Wallace,Wallace,47.4775011,-115.902634,PG 8-X116,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/52,52
