title,creator,description,date,subjects,origin,destination,location,source,format,type,rights,language,object-id
"Letter from Frederick Burbidge to F.W. Bradley, June 26, 1899 [02]","Burbidge, Frederick",Burbidge informs of a legal brief sent separately; handwritten.,1899-06-26,legal disputes; mining claims,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,10
"Telegram from Frederick Burbidge to F.W. Bradley, June 26, 1899","Burbidge, Frederick",Telegram written in code.,1899-06-26,codes,United States--Idaho--Shoshone County--Wardner,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,11
"Unsigned letter to W.W. Woods, April 01, 1899",,Explaining settlement options regarding damages incurred on property owned by a Mr. Root.,1899-04-01,settlements,United States--Idaho--Shoshone County--Kellogg,United States--Idaho--Shoshone County--Wallace,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,12
"List and descriptions of code words, no date",,code key; handwritten.,1900,codes,United States--Idaho--Shoshone County,,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,13
"Telegram from Frederick Burbidge to F.W. Bradley, June 27, 1899","Burbidge, Frederick","Telegram written in code, possibly about a witness in a trial.",1899-06-27,codes; travel; legal disputes,United States--Idaho--Shoshone County--Wardner,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,14
"Telegram from Frederick Burbidge to F.W. Bradley, June 28, 1899","Burbidge, Frederick","Telegram written in code, possible travel plans.",1899-06-28,codes; travel,United States--Idaho--Shoshone County--Wardner,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,15
"Letter from Frederick Burbidge to F.W. Bradley, June 28, 1899","Burbidge, Frederick",Burbidge requests Bradley to authenticate and sign enclosed form; handwritten.,1899-06-28,legal disputes,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,16
"Letter from Frederick Burbidge to F.W. Bradley, June 30, 1899","Burbidge, Frederick",Burbidge informs Bradley about Miners' Union funds.,1899-06-30,labor unions,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,17
"Letter from Frederick Burbidge to Alex Granger, June 19, 1899","Burbidge, Frederick","Burbidge requests that Granger clip newspapers, handwritten.",1899-06-19,advertisement; filing,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,18
"Letter from Frederick Burbidge to Alex Granger, June 21, 1899","Burbidge, Frederick",Burbidge inquires about amount of shares of stock.,1899-06-21,stocks,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,20
"Letter from Frederick Burbidge to F.W. Bradley, July 15, 1899 [01]","Burbidge, Frederick",Burbidge explains the location of a flume as it is drawn on a blue print.,1899-07-15,blueprints; maps,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,21
"Letter from Frederick Burbidge to F.W. Bradley, July 15, 1899 [02]","Burbidge, Frederick",Burbidge explains level of detail of a recently sent statement; handwritten.,1899-07-15,reports,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,22
"Telegram from F.W. Bradley to Alexander Granger, April 01, 1899","Bradley, F.W.",Telegram written in code regarding possible travel plans; handwritten.,1899-04-01,travel; codes,United States--Pennsylvania--Philadelphia County--Philadelphia,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,23
"Letter from Frederick Burbidge to F.W. Bradley, July 15, 1899 [03]","Burbidge, Frederick","Burbidge describes a potential water supply; handwritten, 2 pages.",1899-07-15,water supply,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,24
"Letter from Frederick Burbidge to F.W. Bradley, July 15, 1899 [04]","Burbidge, Frederick","Burbidge discusses a contract, settlements over the sales of lead, and work at various smelters; 2 pages, handwritten note at end.",1899-07-17,contracts; settlements; smelting,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,25
"Letter from Frederick Burbidge to Alex. Granger, July 20, 1899","Burbidge, Frederick",Burbidge replies to telegrams about checks and payments.,1899-07-20,checks; accounting,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,27
"Letter from Frederick Burbidge to F.W. Bradley, July 19, 1899 [01]","Burbidge, Frederick",Weekly Letter:  reports recapping the weekly progress at the mine and mill; 2 pages.,1899-07-19,accounting; mining; construction,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,28
"Letter from Frederick Burbidge to F.W. Bradley, July 19, 1899 [02]","Burbidge, Frederick","Burbidge discusses water rights and land owned by another company; handwritten reply by Bradley at end, 2 pages.",1899-07-19,water rights; land use,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,29
"Letter from Frederick Burbidge to F.W. Bradley, July 19, 1899 [03]","Burbidge, Frederick",Burbidge replies to an earlier letter regarding the location of mining claims.,1899-07-19,mining claims,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,30
"Letter from Frederick Burbidge to F.W. Bradley, July 15, 1899 [05]","Burbidge, Frederick",Burbidge informs Bradley on the Wardner Industrial Union.,1899-07-15,labor unions,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,31
"Letter from Frederick Burbidge to Alex. Granger, July 23, 1899","Burbidge, Frederick",Burbidge informs Granger of an enclosed payment that may have been tampered with.,1899-07-23,checks; labor spies,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,33
"Letter from Frederick Burbidge to F.W. Bradley, April 02, 1899 [01]","Burbidge, Frederick","Burbidge informs Bradley of progress made in digging Kellogg Tunnell; handwritten, 2 pages.",1899-04-02,tunnels,United States--Idaho--Shoshone County--Kellogg,United States--Illinois--Cook County--Chicago,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,34
"Letter from D.R. Cameron to Bunker Hill & Sullivan M. & C. Co., July 22, 1899","Cameron, D.R.",Cameron informs of correspondance that may have been tampered with; handwritten.,1899-07-22,correspondence,United States--Idaho--Kootenai County--Harrison,United States--Idaho--Shoshone County--Kellogg,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,35
"Letter from Frederick Burbidge to Alex. Granger, July 22, 1899","Burbidge, Frederick",Burbidge explains a payment; handwritten.,1899-07-22,pay; accounting,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,36
"Letter from Frederick Burbidge to F.W. Bradley, July 21, 1899","Burbidge, Frederick",Burbidge discusses amounts in various accounts.,1899-07-21,accounting,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,37
"Telegram from Frederick Burbidge to Alexander Granger, July 20, 1899","Burbidge, Frederick",Burbidge informs Granger that he is sending checks in the mail.,1899-07-20,checks; pay,United States--Idaho--Shoshone County--Wardner,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,38
"Telegram from Frederick Burbridge (sic) to Alexander Granger, July 20, 1899","Burbidge, Frederick",Burbidge explains problems with sending and paying checks; handwritten note possibly a reply.,1899-07-20,checks; pay,United States--Idaho--Shoshone County--Wardner,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,39
"Unsigned letter to Alex Granger, July 20, 1899","Burbidge, Frederick",Letter possibly from Burbidge reiterating last telegram about checks and payments.,1899-07-20,checks; pay,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,40
"Letter from Frederick Burbidge to F.W. Bradley, July 23, 1899 [01]","Burbidge, Frederick",Burbidge explains the Last Chance Company's water issues.,1899-07-23,water supply,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,41
"Letter from Frederick Burbidge to F.W. Bradley, July 23, 1899 [02]","Burbidge, Frederick",Burbidge informs Bradley of possible water supplies.,1899-07-23,water supply; land use,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,42
"Letter from Frederick Burbidge to F.W. Bradley, July 23, 1899 [03]","Burbidge, Frederick",Burbidge explains maps and surveys done for the Stemwinder Case.,1899-07-23,legal disputes; maps,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,43
"Letter from Frederick Burbidge to F.W. Bradley, July 23, 1899 [04]","Burbidge, Frederick",Burbidge discusses assets and losses listed on the Annual Report; handwritten note at end.,1899-07-23,reports; assets,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,44
"Letter from Frederick Burbidge to F.W. Bradley, April 02, 1899 [02]","Burbidge, Frederick",Burbidge informs Bradley of Kennedy's travel times.,1899-04-02,travel,United States--Idaho--Shoshone County--Kellogg,United States--Pennsylvania--Philadelphia County--Philadelphia,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,45
"Letter from Frederick Burbidge to F.W. Bradley, July 24, 1899 [01]","Burbidge, Frederick",Weekly Letter:  reports recapping the weekly progress at the mine and mill; 2 pages.,1899-07-24,reports; construction; tunnels; ore,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,46
"Unsigned letter (possibly from Frederick Burbidge) to F.W. Bradley, July 24, 1899","Burbidge, Frederick",Sources and costs of a possible water supply are discussed; handwritten note at end.,1899-07-24,water supply,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,47
"Letter from Frederick Burbidge to F.W. Bradley, July 24, 1899 [02]","Burbidge, Frederick",Burbidge informs Bradley on an ore contract; handwritten note at end.,1899-07-24,contracts,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,48
"Letter from Frederick Burbidge to F.W. Bradley, July 24, 1899 [03]","Burbidge, Frederick",Burbidge explains the enclosed blue prints.,1899-07-24,blueprints; maps,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,49
"Letter from C.W. Simmons to Alex Granger, July 26, 1899","Simmons, C. W.",Simmons informs Granger of a check that had been destroyed.,1899-07-26,checks; property damage,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,50
"Letter from Frederick Burbidge to F.W. Bradley, July 26, 1899 [01]","Burbidge, Frederick",Burbidge informs Bradley of their assessed tax amounts.,1899-07-26,taxes,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,51
