Title	Creator	Description	Date	Subject	Keywords	Relation	Contributing Institution	Publisher Digital	Digital Collection Website	Source	Identifier	Publisher	Format Original	Type	Format	Digitization Specifications	Rights	Language	Date Digital	Coverage	Latitude	Longitude	Full text	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														April 29, 1955  Kinsey Robinson. President  Wasbington Water Power C~aDY  ~pokone, .a,binglen  Dear Kinsey:  I a- enclosing 8 copy of • letter I received today from Senator  Dworlbak and. copy of Kajor General S. D. ~turQis' testimony  before the Appropriations Subcommittee.  On the last two pages, or lather the last balf of bis testimony,  -eOlian 11 -ade ot our Bruces Eddy Project. It aprears to me  that General Sturgis .10ht be 8 little pre.umptlous tn saying  that the rower companies are not interested. The lnst word I  bad on this project W8S that I bill would be introduced real  soon tor authorization tor p.rtnership rermitting the Department  ot Interior to work out the partnership features and giving them  a year and one-halt to do so.  Sincerely,  A. B. Curtis, .ayor  AaClgb  Enclo.ures 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/10	10	11.pdfpage	/dworshak/image/11.pdfpage
The Washington Water Power Company	Robinson, K.M.	A letter to K.M. Robinson from Bert Curtis, discussing General Sturgis	1955-04-29	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-004		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/11	11	12.cpd	/dworshak/supp/11/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														llay 14, 1QSS  1I0Dorabie Len Jordan, Chairman  loited ~tates eetioa  International Joint C~issioD  Wasbington. D. C.  Dear lcn:  Tbe temperature favorable to • partnersbip dam ot ~ruee's  Eddy has incre.sed to a whIte bot degree.  lalt week the Clearwater County Commissioners, incldental~  ly who ore all democratic, asked ~ to have prepared I  resolution endorsing the partnership principle. A copy of  this resolution Is enclosed since you .lgbt make good use  or It, and I am sure you will. Copies of this hal just  been released to the local presi. Similar resolutions  endorsing partnership can ue obtained froa other emnty  commissioner gro~p. if they will belelptul.  Naturally we ore all very anxious tor congressional action,  and ~e hope you ore making good prOUTess.  Sincerely and kind personal regards,  A. • Curtis. Mayor  ADC:gb  Enclosure 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/12	12	13.pdfpage	/dworshak/image/13.pdfpage
Letter to Len Jordan	Curtis, Bert	A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.	1955-05-12	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;  Jordan, Len B. (Len Beck), 1899-1983;	Curtis, Bert; Jordan, Len; Penny Cliffs; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-008		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/13	13	14.cpd	/dworshak/supp/13/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														'O'~·'" ...~- ....  iJHE WASHinGTOn WATER POWER COmPAny  •  P. O. DRAWER '~~5  S P0 K A n E 10, WAS H I n GTon  May 12, 1955  The Honorable A. B. Curtis  Mayor of the City of Orofino  Orofino, Idaho  Dear Bert:  I have your note enclosing a copy of a  resolution obtained from Clearwater County  Commissioners.  This is certainly a very good resolution  and I hope that you send Senator Dworshak and  ex-Governor Jordan copies of this as I know they  will be very much interested.  ;;mOlY~__~_.~._~~_~__  R.w 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/14	14	15.pdfpage	/dworshak/image/15.pdfpage
The Washington Water Power Company	Robinson, K.M.	A letter from K.M. Robinson to Bert Curtis, discussing the resolution for the Penny Cliffs and Bruces Eddy projects.	1955-05-12		Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-007		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/15	15	16.cpd	/dworshak/supp/15/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														PACIFIC NORTHWEST POWER COMPANY  P. D. DRAWER 1445  SPOKANE 10, WASHINGTON  January 3, 1956  The Honorable A. B. Curtis  Mayor of the City of Orofino  Orofino, Idaho  Dear Bert:  I hope you will pardon my delay in answering your letter of  December 22, relative to Henry Dworshak's letter to you in connection  with the so-called Trinity River of California bill.  This bill does not quite fit the situation that we had hoped to develop.  I have gone over other bills on partnership and none of them quite work  out with the program we had in mind.  I am returning the bill in connection with Trinity River. and am  also enclosing House bill H. R. 4662. which is the bill now before  Congress in connectioD with the Cougar Dam and the Green Peter Dam,  in Oregon. Both of these have been approved for federal construction  and an attempt is being made to change that program to one where the  federal government will build and operate the dams and reservoirs, and  local units - the City of Eugene in one case, and Pacific Power &. Light  Company in the other, would build the power facilities under a license  from the Federal Power Commission.  I am leaving for Portland ton ight and expect to see the attorneys  for the Pacific Northwest Power Company. I will ask them to draft  the provisions which we think should be in the bill and which we believe  the Army Engineers are agreeable to.  I am leaving for the East Thursday afternoon and expect to be in  Washington, D. C. at least one day next week. If I do get to Washington.  I shall endeavor to have a talk with Henry about this entire matter.  Sincerely,  1(1/1  enc.  R.w 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/16	16	17.pdfpage	/dworshak/image/17.pdfpage
Pacific Northwest Power Company	Robinson, K.M.	K.M. Robinson explains that the Trinity River Bill will not suit the power companies purposes regarding Bruces Eddy.	1956-01-03	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Robinson, K.M.; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-018		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/17	17	18.cpd	/dworshak/supp/17/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														June 2, 1955  Honorable Len Jordan, Cbairman  United States SectloD  Jut'Taltlonal Joint Ca-aisslon  Wasbington. O. C.  Dear Len:  Enclosed herewith you wlll find a copy of Q letter I have today  wrItten to senator Dworshak.  Besides this letter, several otbers bave gone out yesterday and  today fro- sucb people as Don lodie in Lewiston. Bill ~rlDeau  In MOlcow aod ••rloul people fra- this area. Surprising II it  ~1 seem, tbe chairman of tbe COUDty democratic party, Ray McNichols.  is lending a strong letter endorsing partnersbip power today. It  is diffieult to realize that .Yeryone in this region is 1. tbe  strongest support pOllible regardless of party affiliatioos.  I cert3inly bope that nothing slips on this and sincerely feel  that it ta an absolute .ust to hive a partnership bill introduced.  Should the bill be IOlt we certainly will be able to point with  dilfavor at those who killed it. Personally, I think we will wiD  beclule I cannot lee bow people in Washington Ind Oregon cln vote  again.t it 81 it would be I Yote Igalnst the interests of their  own people. With kind personal regards and pl•••e keep De po.ted.  This country il really worked into a dither.  Sincerely your.,  A. B. Curti., Mayor  ABC:gb  cc: Enclosed 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/18	18	19.pdfpage	/dworshak/image/19.pdfpage
Letter to Len Jordan	Curtis, Bert	A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.	1955-06-02	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;  Jordan, Len B. (Len Beck), 1899-1983;	Curtis, Bert; Jordan, Len; Penny Cliffs; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-010		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/19	19	20.cpd	/dworshak/supp/19/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														Dec~r 22, 1955  1Ir. Kinsey Robinlon  Washington Water Power Company  Spokane, Wasbington  Dcar Kinsey:  I had a letter fro. Henry DwoTlhak today enclosed In which was the 10 ell led  trinity RI'er of Callfnrnla Bill.  The Senator has Biked tbat I comment upon tbis legislation to see how It  would tit c~r needs for Bruce'! ~ddy and Penny Clitfs. Would you .lad  looking over this Ie Illation and let me know at GD early date your opialon.  With recent actIvities such as ~ur hearings and re.arks made by our Army  EDQtneers, It appears that th~ Senator Is moTe anxious lban ever to get  some legislation underway. I 81ll litre that yet' know more about thl. thaD I  and your frank opinion as to whether or not the Clearwater development  could follow the general lines of the Trinity Bill, would be appreciated.  I would rather not go too far discussing this at the lncal level until I  get your confidential expressions. 10 would appreciate whatever you waat  to say on it and. ot course. will keep it Itrlctly confidential.  Sincerely youTS and wisbiAQ you a  real happy holIday season.  A. B. Curti a, .ayor  AIlC:gb  Enclosure 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/20	20	21.pdfpage	/dworshak/image/21.pdfpage
The Washington Water Power Company	Curtis, Bert	A letter to K.M. Robinson from Bert Curtis, discussing the congressional bill on Trinity River	1955-12-22	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;	Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-017		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/21	21	22.cpd	/dworshak/supp/21/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														THE NEWs-REVIEW PUBLISHING CO.  INC 0 R P 0 RAT E 0  Moscow, IDAHO  w. T. MAFllNUU  M.o.MAOUl  )!""B!R AUDIT BURE"U OF CIRCULATION • TH~ DAILY IDAHONIAN  (AP) attKBER ASSOCIAT£D PRrSS  :u 1'041955  lhlbelm""" to 7"', I baft _ 11&gt; a bassle vUb Dworabak «er tIIa  Bruoaa Jrd~ partn.rsbip cIaa. lie baft e_,.d letters ....nal u.•  ... U. I baft _ tl71Jlg to oOllY1Dca bia that tbia .... til. Te&r  to 11&gt;_ a b1ll 011 the partDerabip bae1•• lIext 7"ar vee aD alactiOll  7"ar and tIIare voaldn't be a c_. But IIeDr7 1& .tictiqr viti&gt; tIIa  idea be vClllld pt _bra and ~ be is rSPt. Be _ said alao b-.  plaJ1JlI tile political ancla. I cClllld be.t axpla1D tbi. to 7"" 11&gt; c.....  _tiOll. Be alao ....t ..._ dopa 011 tba lI1lltar7 eac1Deare aq1Ilc  tbet tbi. daa is DOt teaeabla ter a partDenbip daa. I CaD't ... it,  bolt DOt be!Dc l1li ancinear, CaD't __ tba po1l&gt;t. I he.. _ pttlDc  .... 1Ilto tr.. power peopla vb1cb bae bee" good. lIext _ 7"" are  IoI'COIDIl. 7'" mpt drop 11&gt; _ va CaD baTa a 1_ talk a_t tba e1tuat1oll.  1\ is rq _arata,.". that I ba.. _ rec' ·,.,ed to ••rTa 011 aD  all DOrtbwa.t c...tttae 01 tIIa B_1lla proJaet. Dr. Pearl bas  aaltad tor tbe c...tttaa. It I _ accpeted and aeIlad b7 bia, I'U ..rYe  and ~ I CaD do IIm'& tbrODCb _ .onrea.  Rope 7"" bed a iii_trip tbrODCb tba wood. witll the vbite collar  grClllp. Sorr7 I cClll1dJl't ..t. tba trip, bolt I vee tied lIP too t1gjlt. It  I gat a bid "",t _r, ~ I VOIl't be .0 crowded witll eo_ti... 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/22	22	23.pdfpage	/dworshak/image/23.pdfpage
Letter to Bert Curtis	Bill	A letter to Bert Curtis relating information on the Bruces Eddy partnership project.	1955-07-13	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;  Dworshak, Henry Clarence, 1894-1962;	Dworshak, Henry Clarence; Curtis, Bert;	MG 147	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	03-7a-014		Correspondence Files	Text	application/pdf	PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	eng	2011	Dworshak Dam (Idaho)						2015-08-27	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/23	23	24.cpd	/dworshak/supp/23/index.pdf
Page 1									http://www.lib.uidaho.edu/digital/dworshak/														............. ....... 'T..  .. II: ....V •. O"U  .........e' ,....  011:0"011: ODOII:.. 5  011:.......0 oJ ..OItY,....'"  HUO" ...,T"  SMITH. GRAY, HILL 6. RODGERS  LJl,.W OF,.ICES  PUB~IC SERVICE eUI~OtNG  PORTLJl,.NO. OREGON  January 5, 1956  ..O.... II:IIlV LA'''O a ....V" , .. 'T..  .JO ............' ..0 '~'0·'~'3  Mr. Bert Curtis, Mayor  Orofino, Idaho  Dear Mr. Curtis:  At the request of Mr. K. M. Robinson, I enclose a  copy of a draft bill providing for construction of Bruces Eddy  Project by the United States Government as a partnership project  w:ith construction of the power plant and factiities authorized  to be undertaken under license from the Federal Power Commission  under the Federal PoYer Act.  Yours very truly, 			2011-03-15	2011-03-15	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/24	24	25.pdfpage	/dworshak/image/25.pdfpage
